,tropopause_net
2010.7083333333273,-69.12249364896357
2010.7916666666606,-60.608103846673316
2010.8749999999939,-43.856601325895696
2010.9583333333271,-34.39311500522365
2011.0416666666604,1.5132651318521368
2011.1249999999936,-6.739639563058063
2011.208333333327,-14.830862356948899
2011.2916666666601,-16.21534515665968
2011.3749999999934,-12.474915286677032
2011.4583333333267,-37.98017768771004
2011.54166666666,-55.9553851410125
2011.6249999999932,-64.20893465259581
2011.7083333333264,-69.11104303372855
2011.7916666666597,-60.593546442353926
2011.874999999993,-43.84260638414972
2011.9583333333262,-34.381653070146456
2012.0416666666595,1.517459473981205
2012.1249999999927,-6.748404129656109
2012.208333333326,-14.845278349122964
2012.2916666666592,-16.223744548781184
2012.3749999999925,-12.474015820634577
2012.4583333333258,-37.97552009066811
2012.541666666659,-55.94793815665474
2012.6249999999923,-64.20079031874897
2012.7083333333255,-69.10615913433028
2012.7916666666588,-60.595892021605835
2012.874999999992,-43.85243853568463
2012.9583333333253,-34.394112632166554
2013.0416666666586,1.5041167932294854
2013.1249999999918,-6.75713663337757
2013.208333333325,-14.85129709088028
2013.2916666666583,-16.223980906187705
2013.3749999999916,-12.479351346591926
2013.4583333333248,-37.98884715243531
2013.541666666658,-55.97011572563471
2013.6249999999914,-64.22421634013034
2013.7083333333246,-69.1270686163111
2013.7916666666579,-60.611964889948325
2013.8749999999911,-43.860383321258695
2013.9583333333244,-34.39335518937787
2014.0416666666576,1.51051503053381
2014.124999999991,-6.744983212434164
2014.2083333333242,-14.843762158673599
2014.2916666666574,-16.223361501376843
2014.3749999999907,-12.479477563031281
2014.458333333324,-37.98227160863689
2014.5416666666572,-55.9589779500958
2014.6249999999905,-64.21360085831924
2014.7083333333237,-69.12064500936475
2014.791666666657,-60.60667402382083
2014.8749999999902,-43.86065176200239
2014.9583333333235,-34.399342222128354
2015.0416666666567,1.499989782737174
2015.12499999999,-6.75599515334963
2015.2083333333233,-14.851221650548183
2015.2916666666565,-16.230767559929944
2015.3749999999898,-12.485949189553253
2015.458333333323,-37.99141630447173
2015.5416666666563,-55.968954135190614
2015.6249999999895,-64.22194232424545
2015.7083333333228,-69.12138372644594
2015.791666666656,-60.59880736238634
2015.8749999999893,-43.84209111490674
2015.9583333333226,-34.374920904939074
2016.0416666666558,1.5232305911401625
2016.124999999989,-6.737756227583759
2016.2083333333223,-14.841654593267265
2016.2916666666556,-16.21542429870368
2016.3749999999889,-12.469064669496845
2016.4583333333221,-37.97449682901251
2016.5416666666554,-55.957048202856896
2016.6249999999886,-64.21787665109059
2016.708333333322,-69.12244686426968
2016.7916666666551,-60.610308955868135
2016.8749999999884,-43.86887288570338
2016.9583333333217,-34.405640684600286
2017.041666666655,1.5039569870644982
2017.1249999999882,-6.750272179466975
2017.2083333333214,-14.839811265987748
2017.2916666666547,-16.21205235419029
2017.374999999988,-12.4619441045661
2017.4583333333212,-37.96465271116563
2017.5416666666545,-55.942957476823324
2017.6249999999877,-64.197343779439
2017.708333333321,-69.1002040480021
2017.7916666666542,-60.58906999323591
2017.8749999999875,-43.8462198183756
2017.9583333333208,-34.38773490101687
2018.041666666654,1.5227110232347911
2018.1249999999873,-6.744215723588326
2018.2083333333205,-14.844438012007458
2018.2916666666538,-16.21897074399348
2018.374999999987,-12.470175113771745
2018.4583333333203,-37.9760151215111
2018.5416666666536,-55.95214159428775
2018.6249999999868,-64.21105354911336
2018.70833333332,-69.10868653420707
2018.7916666666533,-60.59339916637629
2018.8749999999866,-43.85069321704708
2018.9583333333198,
2019.041666666653,1.505395841243228
2019.1249999999864,-6.752033364796631
2019.2083333333196,-14.842654183838249
2019.2916666666529,-16.21363564590618
2019.3749999999861,-12.467411673620404
2019.4583333333194,-37.969043696754426
2019.5416666666526,-55.94575524774868
2019.624999999986,-64.20378353416919
2019.7083333333192,-69.10859453355505
2019.7916666666524,-60.59085679360163
2019.8749999999857,-43.846448100119034
2019.958333333319,-34.38486041846559
2020.0416666666522,1.526033736441235
2020.1249999999854,-6.727692476091306
2020.2083333333187,-14.820835026314683
2020.291666666652,-16.199588369435418
2020.3749999999852,-12.461131700546531
2020.4583333333185,-37.968610510467244
2020.5416666666517,-55.944880837172946
2020.624999999985,-64.20200394684204
2020.7083333333183,-69.10817911057069
2020.7916666666515,-60.59209085568156
2020.8749999999848,-43.83810102125943
2020.958333333318,-34.37083017338645
2021.0416666666513,1.5311056377066166
2021.1249999999845,-6.732620241468311
2021.2083333333178,-14.824629472004318
2021.291666666651,-16.19757205516686
2021.3749999999843,-12.455204831856577
2021.4583333333176,-37.95930032319225
2021.5416666666508,-55.940668850867524
2021.624999999984,-64.19398613236737
2021.7083333333173,-69.0918963515062
2021.7916666666506,-60.570283715932675
2021.8749999999839,-43.81707410448695
2021.9583333333171,-34.35826672979357
2022.0416666666504,1.5614053174993785
2022.1249999999836,-6.630374900093443
2022.208333333317,-14.715227109043667
2022.2916666666501,-16.085237118390495
2022.3749999999834,-12.331929579553957
2022.4583333333167,-37.834261551180504
2022.54166666665,-55.8117240609283
2022.6249999999832,-64.07210276512899
2022.7083333333164,-68.97386128259973
2022.7916666666497,-60.450573209384004
2022.874999999983,-43.691955205411574
2022.9583333333162,-34.21207365644858
2023.0416666666495,1.7048555720285208
2023.1249999999827,-6.553948415238921
2023.208333333316,-14.660704175103064
2023.2916666666492,-16.03739463343797
2023.3749999999825,-12.291294838459379
2023.4583333333157,-37.808534735539894
2023.541666666649,-55.79572441482608
2023.6249999999823,-64.04855314978732
2023.7083333333155,-68.95396478241102
