year,FFI,AFOLU
2002,7.171634479,1.399595922
2003,7.551716646,1.65820847
2004,7.814548562,1.474886465
2005,8.082531141,1.33487545
2006,8.359278412,1.455281605
2007,8.60661682,1.253979127
2008,8.753875153,1.331959593
2009,8.60860315,1.439407263
2010,9.103685437,1.497793953
2011,9.417177434,1.440576192
2012,9.552407298,1.542545593
2013,9.6347314,1.396330582
2014,9.6752442,1.472760157
2015,9.662908562,1.509712795
2016,9.666117926,1.202579875
2017,9.822570382,1.154753955
2018,10.02467974,1.049322263
2019,10.12671339,1.033499808
2020,9.586933985,0.938590505
2021,10.09599789,0.96964621
2022,10.1784488,0.966440597
2023,10.31429277,0.989332
2024,10.39680711,1.1
