model,scenario,region,variable,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|NMVOC|Aviation,Mt NMVOC/yr,0.06994832,0.068001695,0.070051156,0.06970376,0.07471103,0.07818256,0.07977975,0.08173096,0.08159789,0.07725908,0.08073039,0.08314457,0.08434172,0.085457936,0.08579525,0.086632915,0.087667726,0.08830821,0.08914586,0.08998352,0.0910259,0.09165883,0.092496485,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|NOx|Aviation,Mt NO/yr,1.719006,1.6692086,1.6905261,1.6834247,1.7986288,1.8661512,1.8883567,1.9324014,1.9132656,1.8085912,1.8901551,1.9405867,1.9718792,1.9926592,2.0025213,2.0203724,2.0428176,2.0560744,2.0739257,2.0917766,2.114383,2.1274788,2.14533,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|OC|Aviation,Mt OC/yr,0.004441688,0.0043284586,0.0043599056,0.004348547,0.004634603,0.0047958638,0.004844257,0.004972858,0.0049317456,0.0046559027,0.004878336,0.005005989,0.0050815768,0.0051327273,0.0051589916,0.00520425,0.00526146,0.0052947677,0.0053400267,0.005385285,0.0054429076,0.005475803,0.005521062,,,
CAMS-GLOB-AIR-v2.1,historical,World,Emissions|SO2|Aviation,Mt SO2/yr,0.23936526,0.23327328,0.23502615,0.23441601,0.24984977,0.2598512,0.2612802,0.2681731,0.26598254,0.25112545,0.2631263,0.27002653,0.27409697,0.27686492,0.27827787,0.28071862,0.28379762,0.2856001,0.28804088,0.29048163,0.29358265,0.29536313,0.29780385,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|BC|Agricultural Waste Burning,Mt BC/yr,0.25997278,0.26821694,0.26623166,0.2749453,0.28607166,0.29149476,0.2951775,0.30438453,0.3250526,0.32245362,0.33099163,0.34491932,0.34586486,0.36242247,0.36556852,0.36544597,0.3701983,0.38869596,0.38341945,0.38514164,0.3876956,0.38877562,0.39068735,0.39266235,0.39548713,0.39680296
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CH4|Agricultural Waste Burning,Mt CH4/yr,1.3522941,1.3897477,1.3775139,1.4260865,1.4826882,1.5114441,1.5287473,1.5839347,1.6923536,1.6749918,1.7247796,1.7958963,1.8048675,1.8856542,1.9007846,1.9003847,1.9298146,2.0180733,1.9939635,2.0031438,2.0166662,2.0224676,2.0326118,2.043079,2.057982,2.0625925
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO|Agricultural Waste Burning,Mt CO/yr,36.94606,38.347244,38.447678,40.049324,41.471085,42.495995,43.23339,44.857567,47.564697,47.127113,49.111877,51.143513,50.767265,53.75918,54.453934,54.942604,55.577248,57.68158,57.49218,58.017868,58.323944,58.405746,58.61853,58.84363,59.201115,59.330162
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2|Agricultural Waste Burning,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_excl_short-cycle_org_C|Agricultural Waste Burning,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_short-cycle_org_C|Agricultural Waste Burning,Mt CO2/yr,755.73737,778.8799,771.9147,799.2394,828.43274,847.1331,856.58203,884.79504,942.6819,932.51355,959.7714,999.4863,998.1753,1044.1327,1051.8518,1049.0824,1058.9954,1105.3887,1098.4115,1092.9915,1103.3638,1114.6652,1121.593,1129.0669,1139.4153,1145.7771
