year,cwatm_gfdl-esm2m_low,cwatm_gfdl-esm2m_median,cwatm_gfdl-esm2m_high,cwatm_hadgem2-es_low,cwatm_hadgem2-es_median,cwatm_hadgem2-es_high,cwatm_ipsl-cm5a-lr_low,cwatm_ipsl-cm5a-lr_median,cwatm_ipsl-cm5a-lr_high,cwatm_miroc5_low,cwatm_miroc5_median,cwatm_miroc5_high,h08_gfdl-esm2m_low,h08_gfdl-esm2m_median,h08_gfdl-esm2m_high,h08_hadgem2-es_low,h08_hadgem2-es_median,h08_hadgem2-es_high,h08_ipsl-cm5a-lr_low,h08_ipsl-cm5a-lr_median,h08_ipsl-cm5a-lr_high,h08_miroc5_low,h08_miroc5_median,h08_miroc5_high,matsiro_gfdl-esm2m_low,matsiro_gfdl-esm2m_median,matsiro_gfdl-esm2m_high,matsiro_hadgem2-es_low,matsiro_hadgem2-es_median,matsiro_hadgem2-es_high,matsiro_ipsl-cm5a-lr_low,matsiro_ipsl-cm5a-lr_median,matsiro_ipsl-cm5a-lr_high,matsiro_miroc5_low,matsiro_miroc5_median,matsiro_miroc5_high,AVERAGE_low,AVERAGE_median,AVERAGE_high
1871,-0.0029987196776956777,-0.0014993598388478389,0.0014993598388478389,-0.002211427705407959,-0.0011057138527039794,0.0011057138527039794,-0.0015681448340300632,-0.0007840724170150316,0.0007840724170150316,-0.002129421282615028,-0.001064710641307514,0.001064710641307514,-0.00221589395319142,-0.00110794697659571,0.00110794697659571,-0.0013510027598632654,-0.0006755013799316327,0.0006755013799316327,-0.001129753547291121,-0.0005648767736455604,0.0005648767736455604,-0.0010221310902978208,-0.0005110655451489104,0.0005110655451489104,-0.0013522452428218821,-0.0006761226214109411,0.0006761226214109411,-0.0014358817450946186,-0.0007179408725473093,0.0007179408725473093,-0.0006093371483811157,-0.00030466857419055786,0.00030466857419055786,-0.001282935654599964,-0.000641467827299982,0.000641467827299982,-0.001608907886774161,-0.0008044539433870805,0.0008044539433870805
1872,-0.0030580997532606066,-0.0015290498766303033,0.0015290498766303033,-0.0023551217032935,-0.00117756085164675,0.00117756085164675,-0.0015677796093364756,-0.0007838898046682378,0.0007838898046682378,-0.002213087709607204,-0.001106543854803602,0.001106543854803602,-0.0021685688459102373,-0.0010842844229551187,0.0010842844229551187,-0.0014859460173230964,-0.0007429730086615482,0.0007429730086615482,-0.0011267793517145083,-0.0005633896758572541,0.0005633896758572541,-0.0010183452842880535,-0.0005091726421440268,0.0005091726421440268,-0.0013748856527720824,-0.0006874428263860412,0.0006874428263860412,-0.0015426674173308849,-0.0007713337086654424,0.0007713337086654424,-0.0006475187023822189,-0.00032375935119110947,0.00032375935119110947,-0.0013555302678753907,-0.0006777651339376953,0.0006777651339376953,-0.001659527526257855,-0.0008297637631289275,0.0008297637631289275
1873,-0.003175588777851243,-0.0015877943889256215,0.0015877943889256215,-0.0024916707604880316,-0.0012458353802440158,0.0012458353802440158,-0.0016055525088766178,-0.0008027762544383089,0.0008027762544383089,-0.0024767011259228507,-0.0012383505629614253,0.0012383505629614253,-0.002215131667290569,-0.0011075658336452846,0.0011075658336452846,-0.0015929042790985154,-0.0007964521395492577,0.0007964521395492577,-0.0011881439865509943,-0.0005940719932754972,0.0005940719932754972,-0.0012181088839547378,-0.0006090544419773689,0.0006090544419773689,-0.001420995428271851,-0.0007104977141359255,0.0007104977141359255,-0.001625656037535046,-0.000812828018767523,0.000812828018767523,-0.0007162162964166861,-0.00035810814820834305,0.00035810814820834305,-0.0014715764833269527,-0.0007357882416634764,0.0007357882416634764,-0.0017665205196320082,-0.0008832602598160041,0.0008832602598160041
1874,-0.003248591450493829,-0.0016242957252469146,0.0016242957252469146,-0.002496984375667485,-0.0012484921878337424,0.0012484921878337424,-0.0018677252637861797,-0.0009338626318930899,0.0009338626318930899,-0.0025002611342125505,-0.0012501305671062753,0.0012501305671062753,-0.0022605612575103446,-0.0011302806287551723,0.0011302806287551723,-0.0016470761801103636,-0.0008235380900551818,0.0008235380900551818,-0.0013452117730405424,-0.0006726058865202712,0.0006726058865202712,-0.0012151174598918442,-0.0006075587299459221,0.0006075587299459221,-0.0015222443860126215,-0.0007611221930063107,0.0007611221930063107,-0.0016625358117705294,-0.0008312679058852647,0.0008312679058852647,-0.000827160800855412,-0.000413580400427706,0.000413580400427706,-0.0015074743984138414,-0.0007537371992069207,0.0007537371992069207,-0.0018417453576471286,-0.0009208726788235643,0.0009208726788235643
1875,-0.0032998408694586484,-0.0016499204347293242,0.0016499204347293242,-0.002591006651684257,-0.0012955033258421286,0.0012955033258421286,-0.002043964177912883,-0.0010219820889564414,0.0010219820889564414,-0.00262799372940014,-0.00131399686470007,0.00131399686470007,-0.0022993863483451653,-0.0011496931741725826,0.0011496931741725826,-0.0017094543292025118,-0.0008547271646012559,0.0008547271646012559,-0.001483029819173098,-0.000741514909586549,0.000741514909586549,-0.0013566633457383602,-0.0006783316728691801,0.0006783316728691801,-0.0015738922808411356,-0.0007869461404205678,0.0007869461404205678,-0.0017128856260972547,-0.0008564428130486273,0.0008564428130486273,-0.0009203086681266937,-0.00046015433406334686,0.00046015433406334686,-0.001602521781766483,-0.0008012608908832415,0.0008012608908832415,-0.0019350789689788863,-0.0009675394844894431,0.0009675394844894431
1876,-0.003312398555243296,-0.001656199277621648,0.001656199277621648,-0.0027683450989702857,-0.0013841725494851429,0.0013841725494851429,-0.0020856428738745716,-0.0010428214369372858,0.0010428214369372858,-0.002734824834660325,-0.0013674124173301625,0.0013674124173301625,-0.002350410209892857,-0.0011752051049464284,0.0011752051049464284,-0.0018198570165245404,-0.0009099285082622702,0.0009099285082622702,-0.0015743959175511287,-0.0007871979587755644,0.0007871979587755644,-0.0014465126162101281,-0.0007232563081050641,0.0007232563081050641,-0.0016261300045333623,-0.0008130650022666812,0.0008130650022666812,-0.0017912251067352682,-0.0008956125533676341,0.0008956125533676341,-0.0009693433649476778,-0.0004846716824738389,0.0004846716824738389,-0.001678727247785241,-0.0008393636238926205,0.0008393636238926205,-0.00201315107057739,-0.001006575535288695,0.001006575535288695
1877,-0.0033847564254933004,-0.0016923782127466502,0.0016923782127466502,-0.0029464180584252483,-0.0014732090292126241,0.0014732090292126241,-0.0022176189856986986,-0.0011088094928493493,0.0011088094928493493,-0.002888298128847868,-0.001444149064423934,0.001444149064423934,-0.0024651458873887933,-0.0012325729436943966,0.0012325729436943966,-0.0019435634907437687,-0.0009717817453718843,0.0009717817453718843,-0.0016790510416365824,-0.0008395255208182912,0.0008395255208182912,-0.001528104548339003,-0.0007640522741695015,0.0007640522741695015,-0.0016755427313696685,-0.0008377713656848343,0.0008377713656848343,-0.0018712094212497983,-0.0009356047106248991,0.0009356047106248991,-0.0010297522077793691,-0.0005148761038896846,0.0005148761038896846,-0.001760213323221234,-0.000880106661610617,0.000880106661610617,-0.002115806187516111,-0.0010579030937580556,0.0010579030937580556
1878,-0.003606964587569816,-0.001803482293784908,0.001803482293784908,-0.003074327351544363,-0.0015371636757721815,0.0015371636757721815,-0.0023452087743501453,-0.0011726043871750727,0.0011726043871750727,-0.002945762222148233,-0.0014728811110741166,0.0014728811110741166,-0.002616739923547181,-0.0013083699617735904,0.0013083699617735904,-0.0020235358230562732,-0.0010117679115281366,0.0010117679115281366,-0.001776264926288689,-0.0008881324631443445,0.0008881324631443445,-0.0016136237463849669,-0.0008068118731924834,0.0008068118731924834,-0.0017537326336754236,-0.0008768663168377118,0.0008768663168377118,-0.001953408048275194,-0.000976704024137597,0.000976704024137597,-0.0010996745040308914,-0.0005498372520154457,0.0005498372520154457,-0.001822470137622178,-0.000911235068811089,0.000911235068811089,-0.0022193093898744457,-0.0011096546949372229,0.0011096546949372229
1879,-0.0037979218339886517,-0.0018989609169943258,0.0018989609169943258,-0.00326341211423756,-0.00163170605711878,0.00163170605711878,-0.002474445009466861,-0.0012372225047334305,0.0012372225047334305,-0.0030620999038449546,-0.0015310499519224773,0.0015310499519224773,-0.0027881657213794406,-0.0013940828606897203,0.0013940828606897203,-0.002153133148469084,-0.001076566574234542,0.001076566574234542,-0.0019202729098613503,-0.0009601364549306752,0.0009601364549306752,-0.001710529924893168,-0.000855264962446584,0.000855264962446584,-0.0018630164922003444,-0.0009315082461001722,0.0009315082461001722,-0.0020320022419572626,-0.0010160011209786313,0.0010160011209786313,-0.0011574073006023053,-0.0005787036503011526,0.0005787036503011526,-0.0018989918334934022,-0.0009494959167467011,0.0009494959167467011,-0.0023434498695328655,-0.0011717249347664327,0.0011717249347664327
1880,-0.003800966861985857,-0.0019004834309929285,0.0019004834309929285,-0.0033217759070215368,-0.0016608879535107684,0.0016608879535107684,-0.0026809459167730465,-0.0013404729583865232,0.0013404729583865232,-0.0032053922431758692,-0.0016026961215879346,0.0016026961215879346,-0.002783328177484777,-0.0013916640887423886,0.0013916640887423886,-0.0022821375380659968,-0.0011410687690329984,0.0011410687690329984,-0.0021015521814340193,-0.0010507760907170097,0.0010507760907170097,-0.001777223663087338,-0.000888611831543669,0.000888611831543669,-0.0019140280341514498,-0.0009570140170757249,0.0009570140170757249,-0.0020795868054756497,-0.0010397934027378249,0.0010397934027378249,-0.0012634393268979036,-0.0006317196634489518,0.0006317196634489518,-0.001975530287782615,-0.0009877651438913075,0.0009877651438913075,-0.0024321589119446715,-0.0012160794559723357,0.0012160794559723357
