year,LUH2-GCB2024,LUH2-CMIP6,LUH1-CMIP5
1840,-0.02393078997665575,-0.023565785314293777,-0.016696992981195233
1841,-0.02444643087972233,-0.02418349268014063,-0.01734654044682981
1842,-0.02496208665426584,-0.024801252626743008,-0.017996104006567336
1843,-0.02547773625270294,-0.025418955250458296,-0.018645655383307196
1844,-0.025993382036075468,-0.026036713170460163,-0.01929519471689095
1845,-0.026509033477583297,-0.026654434208699746,-0.019944771389199024
1846,-0.02702469428182563,-0.02727215535475492,-0.02059430541122121
1847,-0.027540344159926566,-0.027889876071643265,-0.021243856200070573
1848,-0.02805599768352939,-0.028507631047595676,-0.021893394035519168
1849,-0.028571663095184777,-0.029125347217566808,-0.02254295479757455
1850,-0.029328749346877687,-0.029960521194424442,-0.023360504048085304
1851,-0.030327324971051946,-0.031013070843426884,-0.024346105108748132
1852,-0.031325882137562266,-0.032065649882630824,-0.02533167905573573
1853,-0.032324448853830345,-0.033118214839382994,-0.026317252222937272
1854,-0.033323011639828266,-0.03417079161511092,-0.02730283211978426
1855,-0.0343215801290514,-0.03522337302917518,-0.028288411022620086
1856,-0.03532014173317056,-0.036275952974419864,-0.029273984864528653
1857,-0.03631870325235645,-0.037328514359355344,-0.03025957021019125
1858,-0.03731727346702561,-0.03838106152949625,-0.03124515408494436
1859,-0.03831583120725675,-0.03943366195755643,-0.032230721355191366
1860,-0.03911328592718115,-0.04027558066115081,-0.033090457941302664
1861,-0.039709616467801225,-0.04090684295616218,-0.033824351692411214
1862,-0.04030592751855047,-0.04153814325145735,-0.03455827439854608
1863,-0.04090224219330901,-0.042169411603651404,-0.03529219524082435
1864,-0.04149857239189517,-0.04280066290003502,-0.03602609642782097
1865,-0.04209490001025513,-0.0434319770588168,-0.03675998732257754
1866,-0.04269122010789587,-0.04406323905727541,-0.0374938916184944
1867,-0.04328754658718399,-0.04469451539319343,-0.03822779744544469
1868,-0.043883874653758,-0.04532579865943905,-0.038961695965813205
1869,-0.0444801899605008,-0.04595708394848966,-0.03969560411457067
1870,-0.045509470906326205,-0.0470155008511285,-0.04080047422440281
1871,-0.04697170031736847,-0.048501009878967286,-0.042276294840718084
1872,-0.04843392843704893,-0.04998658209320162,-0.043752116454430987
1873,-0.04989616891136296,-0.051472110743113114,-0.04522796185299982
1874,-0.051358407956353505,-0.05295763128019496,-0.04670377624842895
1875,-0.05282064713637871,-0.054443189729412346,-0.0481796070791729
1876,-0.05428289495141051,-0.05592867863701665,-0.04965542434979475
1877,-0.055745132911959566,-0.05741423548916463,-0.051131231813509044
1878,-0.05720735524741485,-0.05889979683321413,-0.05260706257383919
1879,-0.05866958770081887,-0.06038534762043552,-0.05408289983187923
1880,-0.059912969107566556,-0.061656797332470994,-0.05539956459777394
1881,-0.06093747677086277,-0.06271416762576318,-0.056557030605278565
1882,-0.06196197629125662,-0.06377155236733824,-0.057714511872455715
1883,-0.0629864962802867,-0.06482890208078278,-0.05887196905016841
1884,-0.06401100893405601,-0.06588624862285894,-0.060029444568332924
1885,-0.06503550921119043,-0.06694367049929593,-0.06118693304839743
1886,-0.06606002693739264,-0.06800102779647144,-0.06234442758324203
1887,-0.06708453375356753,-0.06905838707558594,-0.06350189416463264
1888,-0.06810905493577389,-0.07011574863387096,-0.06465939033873122
1889,-0.06913356238186241,-0.07117312666636227,-0.06581685818435525
1890,-0.07014372712530731,-0.07218156178471974,-0.06702037354723386
1891,-0.07113958407262713,-0.0731410488403825,-0.06826992994919982
1892,-0.07213543948820061,-0.0741005723974239,-0.06951945927434991
1893,-0.07313129200283827,-0.07506005313186123,-0.07076902693139137
1894,-0.07412713422394904,-0.07601954932291408,-0.07201858621567304
1895,-0.07512297678128349,-0.07697904795480451,-0.07326814199484488
1896,-0.07611881736243825,-0.0779385138323813,-0.0745176971841622
1897,-0.07711465651995722,-0.07889801010170802,-0.07576725744928435
1898,-0.07811052170037466,-0.07985750923790827,-0.0770167763501492
1899,-0.07910636568086603,-0.08081701409667041,-0.07826634791638502
1900,-0.08030403737309674,-0.08205141170791778,-0.0796285226398174
1901,-0.0817035499745447,-0.08356071653618653,-0.08110334604758437
1902,-0.08310309339279288,-0.08507002474906541,-0.08257817710595626
1903,-0.08450260531852663,-0.08657933968106497,-0.08405300695121264
1904,-0.08590210761933134,-0.08808865587644783,-0.0855278150861857
1905,-0.08730163606879135,-0.0895979402099625,-0.0870026284328853
1906,-0.08870114068313649,-0.09110723856797885,-0.08847744980486238
1907,-0.09010065374555364,-0.09261655695012785,-0.08995225993731343
1908,-0.09150016131289129,-0.09412585560223416,-0.09142709000261968
1909,-0.09289967611980689,-0.09563516732497644,-0.09290190841963636
1910,-0.09379639315876458,-0.09654302557580292,-0.09399385768973036
1911,-0.09419029051865538,-0.09684945183405147,-0.09470296725627542
1912,-0.09458420073330714,-0.09715584925966672,-0.0954121092233358
1913,-0.09497810741674119,-0.09746222495326355,-0.09612123674043828
1914,-0.09537200245773363,-0.09776865061613899,-0.09683035408164413
1915,-0.09576591966587339,-0.09807504192476528,-0.09753947266843527
1916,-0.0961598223681826,-0.09838144538316387,-0.09824859319572342
1917,-0.09655371392243196,-0.09868785061849429,-0.09895770312492577
1918,-0.09694762257198995,-0.09899424723066451,-0.09966682520511715
