year,cmip5-hist,rcp26,rcp45,rcp60,rcp85,cmip6-hist,cmip6-hist-low,cmip6-hist-high,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534,ssp585,gcb-2024,gcb-2025,cmip7-hist,scen7-h,scen7-vl
1830,-0.011704965,,,,,-0.017576098,-0.017981132,-0.017169142,,,,,,,,,-0.018384535,-0.018078063,-0.01838454,,
1831,-0.012196263,,,,,-0.018174054,-0.018562194,-0.017790819,,,,,,,,,-0.018941106,-0.0186427,-0.018941112,,
1832,-0.01268757,,,,,-0.018771967,-0.019143198,-0.01841255,,,,,,,,,-0.019497724,-0.019207263,-0.019497732,,
1833,-0.013178846,,,,,-0.019369876,-0.01972433,-0.019034194,,,,,,,,,-0.02005436,-0.019771894,-0.020054389,,
1834,-0.013670191,,,,,-0.019967834,-0.020305328,-0.01965587,,,,,,,,,-0.020611057,-0.020336535,-0.020611063,,
1835,-0.014161512,,,,,-0.020565756,-0.020886434,-0.020277524,,,,,,,,,-0.021167677,-0.020901153,-0.021167688,,
1836,-0.014652821,,,,,-0.02116367,-0.021467494,-0.020899214,,,,,,,,,-0.021724291,-0.021465726,-0.021724302,,
1837,-0.015144134,,,,,-0.021761613,-0.022048512,-0.02152097,,,,,,,,,-0.022280952,-0.022030344,-0.02228095,,
1838,-0.015635442,,,,,-0.02235949,-0.02262959,-0.022142634,,,,,,,,,-0.02283759,-0.02259501,-0.022837624,,
1839,-0.016126737,,,,,-0.022957409,-0.023210693,-0.022764297,,,,,,,,,-0.023394236,-0.023159573,-0.023394246,,
1840,-0.016697142,,,,,-0.023565266,-0.02380415,-0.023389319,,,,,,,,,-0.023930363,-0.023700004,-0.023930373,,
1841,-0.017346691,,,,,-0.024183031,-0.024409957,-0.024017604,,,,,,,,,-0.024446068,-0.024216227,-0.024446089,,
1842,-0.017996242,,,,,-0.024800684,-0.025015924,-0.02464595,,,,,,,,,-0.024961619,-0.02473234,-0.02496163,,
1843,-0.018645803,,,,,-0.02541841,-0.025621742,-0.02527425,,,,,,,,,-0.025477272,-0.02524853,-0.025477296,,
1844,-0.019295366,,,,,-0.026036177,-0.026227564,-0.025902629,,,,,,,,,-0.02599299,-0.025764765,-0.025993003,,
1845,-0.019944903,,,,,-0.026653927,-0.026833452,-0.026530888,,,,,,,,,-0.02650857,-0.026280912,-0.026508588,,
1846,-0.020594401,,,,,-0.027271654,-0.027439289,-0.027159173,,,,,,,,,-0.027024288,-0.026797082,-0.027024304,,
1847,-0.02124397,,,,,-0.027889393,-0.028045077,-0.027787475,,,,,,,,,-0.0275399,-0.027313262,-0.027539903,,
1848,-0.02189349,,,,,-0.028507093,-0.028650908,-0.028415823,,,,,,,,,-0.02805558,-0.027829463,-0.028055564,,
1849,-0.02254303,,,,,-0.029124847,-0.02925683,-0.029044181,,,,,,,,,-0.028571201,-0.028345652,-0.028571231,,
1850,-0.023360541,,,,,-0.029959887,-0.030067895,-0.029904751,,,,,,,,,-0.02932828,-0.029103598,-0.02932829,,
1851,-0.024346145,,,,,-0.031012446,-0.031084225,-0.030997606,,,,,,,,,-0.03032683,-0.030103179,-0.030326828,,
1852,-0.025331708,,,,,-0.032064985,-0.0321006,-0.032090496,,,,,,,,,-0.03132534,-0.031102726,-0.031325337,,
1853,-0.02631725,,,,,-0.03311758,-0.03311689,-0.033183437,,,,,,,,,-0.03232394,-0.032102328,-0.032323964,,
1854,-0.027302857,,,,,-0.034170076,-0.034133296,-0.034276344,,,,,,,,,-0.03332243,-0.033101957,-0.03332245,,
1855,-0.028288363,,,,,-0.035222773,-0.035149608,-0.03536922,,,,,,,,,-0.034321003,-0.034101535,-0.034321025,,
1856,-0.029273925,,,,,-0.036275186,-0.036166064,-0.036462054,,,,,,,,,-0.035319496,-0.035101123,-0.035319492,,
1857,-0.030259443,,,,,-0.037327785,-0.037182312,-0.037554957,,,,,,,,,-0.036318112,-0.036100864,-0.03631814,,
1858,-0.031245088,,,,,-0.038380302,-0.03819866,-0.038647804,,,,,,,,,-0.037316497,-0.037100323,-0.03731651,,
1859,-0.03223062,,,,,-0.039432835,-0.039215032,-0.039740685,,,,,,,,,-0.038315192,-0.03810007,-0.038315214,,
1860,-0.033090312,,,,,-0.040274765,-0.040048447,-0.040593415,,,,,,,,,-0.039112613,-0.038919725,-0.03911261,,
1861,-0.033824246,,,,,-0.040906046,-0.040698994,-0.041206036,,,,,,,,,-0.039708886,-0.03955965,-0.0397089,,
1862,-0.034558173,,,,,-0.04153731,-0.04134946,-0.04181863,,,,,,,,,-0.04030523,-0.040199567,-0.04030526,,
1863,-0.035292055,,,,,-0.04216864,-0.042000104,-0.042431276,,,,,,,,,-0.04090154,-0.040839557,-0.040901568,,
1864,-0.036025878,,,,,-0.042799868,-0.04265061,-0.04304382,,,,,,,,,-0.041497845,-0.041479457,-0.041497845,,
1865,-0.03675979,,,,,-0.043431032,-0.043301202,-0.043656535,,,,,,,,,-0.042094074,-0.042119205,-0.042094067,,
1866,-0.037493773,,,,,-0.044062413,-0.043951675,-0.044269186,,,,,,,,,-0.042690463,-0.04275919,-0.04269051,,
1867,-0.03822761,,,,,-0.044693626,-0.044602256,-0.044881653,,,,,,,,,-0.043286636,-0.043399096,-0.04328664,,
1868,-0.038961522,,,,,-0.04532486,-0.04525272,-0.045494273,,,,,,,,,-0.043883145,-0.044039033,-0.043883145,,
1869,-0.039695445,,,,,-0.045956157,-0.04590334,-0.04610691,,,,,,,,,-0.044479255,-0.044678837,-0.044479307,,
1870,-0.04080029,,,,,-0.047014702,-0.046956085,-0.047172017,,,,,,,,,-0.045508634,-0.04573707,-0.045508668,,
1871,-0.042276032,,,,,-0.04850013,-0.04841114,-0.048689563,,,,,,,,,-0.04697067,-0.047213472,-0.046970654,,
1872,-0.043751817,,,,,-0.049985606,-0.04986615,-0.050207175,,,,,,,,,-0.048432942,-0.04868997,-0.048432987,,
1873,-0.045227606,,,,,-0.051471174,-0.051321402,-0.051724724,,,,,,,,,-0.049895164,-0.05016652,-0.049895164,,
1874,-0.04670336,,,,,-0.052956562,-0.05277637,-0.053242415,,,,,,,,,-0.051357448,-0.051642876,-0.05135746,,
1875,-0.048179317,,,,,-0.05444198,-0.054231536,-0.054760043,,,,,,,,,-0.05281969,-0.05311943,-0.05281971,,
1876,-0.049654946,,,,,-0.05592766,-0.055686574,-0.056277633,,,,,,,,,-0.054281756,-0.054595754,-0.054281812,,
1877,-0.051130768,,,,,-0.057413243,-0.05714167,-0.057795133,,,,,,,,,-0.05574401,-0.056072243,-0.055744022,,
1878,-0.052606527,,,,,-0.0588987,-0.058596734,-0.059312675,,,,,,,,,-0.05720621,-0.057548672,-0.057206254,,
1879,-0.054082334,,,,,-0.06038429,-0.06005179,-0.06083038,,,,,,,,,-0.058668494,-0.059025206,-0.05866851,,
1880,-0.055399027,,,,,-0.061655656,-0.061320696,-0.06210423,,,,,,,,,-0.05991189,-0.060284533,-0.0599119,,
1881,-0.056556433,,,,,-0.062712975,-0.062403724,-0.06313418,,,,,,,,,-0.06093624,-0.06132639,-0.060936276,,
1882,-0.057713885,,,,,-0.06377032,-0.063486695,-0.06416431,,,,,,,,,-0.061960753,-0.062368385,-0.061960768,,
1883,-0.058871347,,,,,-0.064827666,-0.06456947,-0.06519451,,,,,,,,,-0.0629853,-0.06341042,-0.06298532,,
1884,-0.060028702,,,,,-0.065885074,-0.0656523,-0.06622448,,,,,,,,,-0.0640098,-0.064452544,-0.06400982,,
1885,-0.061186165,,,,,-0.066942364,-0.06673505,-0.067254595,,,,,,,,,-0.06503427,-0.06549456,-0.06503428,,
1886,-0.062343575,,,,,-0.06799956,-0.06781798,-0.0682846,,,,,,,,,-0.06605866,-0.06653651,-0.06605867,,
1887,-0.06350118,,,,,-0.06905697,-0.068900734,-0.06931472,,,,,,,,,-0.06708302,-0.067578375,-0.06708301,,
1888,-0.064658456,,,,,-0.07011437,-0.06998369,-0.07034478,,,,,,,,,-0.06810775,-0.06862053,-0.06810779,,
1889,-0.065816,,,,,-0.07117163,-0.07106656,-0.07137504,,,,,,,,,-0.069132075,-0.06966252,-0.06913209,,
1890,-0.06701948,,,,,-0.07217994,-0.07210935,-0.072345324,,,,,,,,,-0.0701424,-0.07068273,-0.07014245,,
1891,-0.068268925,,,,,-0.07313962,-0.07311168,-0.07325624,,,,,,,,,-0.07113814,-0.07168124,-0.07113815,,
1892,-0.06951878,,,,,-0.074099146,-0.07411394,-0.0741671,,,,,,,,,-0.07213399,-0.07267951,-0.072134025,,
1893,-0.07076804,,,,,-0.07505846,-0.07511612,-0.0750779,,,,,,,,,-0.07312979,-0.07367796,-0.07312981,,
1894,-0.072017714,,,,,-0.076017976,-0.07611843,-0.075989,,,,,,,,,-0.07412572,-0.07467635,-0.07412575,,
1895,-0.07326717,,,,,-0.07697757,-0.077120945,-0.076899834,,,,,,,,,-0.075121544,-0.075674735,-0.07512153,,
1896,-0.07451681,,,,,-0.077937014,-0.07812308,-0.077810846,,,,,,,,,-0.07611728,-0.07667289,-0.076117255,,
1897,-0.075766325,,,,,-0.0788963,-0.079125345,-0.078721635,,,,,,,,,-0.077113144,-0.077671364,-0.07711316,,
1898,-0.077015765,,,,,-0.07985587,-0.08012774,-0.07963272,,,,,,,,,-0.078108944,-0.07866979,-0.078108996,,
1899,-0.07826532,,,,,-0.08081533,-0.08113015,-0.08054354,,,,,,,,,-0.079104714,-0.07966795,-0.079104766,,
1900,-0.07962759,,,,,-0.08204958,-0.08236874,-0.08176821,,,,,,,,,-0.08030214,-0.08085958,-0.08030219,,
1901,-0.08110226,,,,,-0.0835592,-0.083843194,-0.08330675,,,,,,,,,-0.08170186,-0.08224425,-0.08170189,,
1902,-0.08257699,,,,,-0.08506845,-0.08531789,-0.084845506,,,,,,,,,-0.08310136,-0.08362919,-0.08310132,,
1903,-0.08405157,,,,,-0.08657769,-0.08679274,-0.086383745,,,,,,,,,-0.08450105,-0.08501394,-0.084500976,,
1904,-0.08552654,,,,,-0.088086866,-0.08826712,-0.08792234,,,,,,,,,-0.08590037,-0.08639843,-0.08590036,,
1905,-0.08700146,,,,,-0.08959603,-0.089741796,-0.08946077,,,,,,,,,-0.08730004,-0.08778335,-0.08730003,,
1906,-0.088475995,,,,,-0.09110534,-0.09121653,-0.0909995,,,,,,,,,-0.0886993,-0.08916763,-0.08869936,,
1907,-0.08995109,,,,,-0.0926146,-0.09269128,-0.092537954,,,,,,,,,-0.090098746,-0.0905526,-0.09009881,,
1908,-0.091425575,,,,,-0.09412387,-0.094165996,-0.09407644,,,,,,,,,-0.091498345,-0.091937244,-0.09149829,,
1909,-0.09290059,,,,,-0.09563327,-0.09564038,-0.09561501,,,,,,,,,-0.09289797,-0.09332213,-0.09289792,,
1910,-0.09399266,,,,,-0.096541,-0.096554756,-0.09651419,,,,,,,,,-0.09379442,-0.09420686,-0.09379441,,
1911,-0.09470172,,,,,-0.096847534,-0.096909046,-0.09677506,,,,,,,,,-0.094188355,-0.09459274,-0.09418845,,
1912,-0.09541067,,,,,-0.09715406,-0.09726322,-0.097035445,,,,,,,,,-0.09458258,-0.09497843,-0.094582625,,
1913,-0.09611996,,,,,-0.09746028,-0.09761723,-0.09729632,,,,,,,,,-0.09497618,-0.09536405,-0.0949762,,
1914,-0.09682914,,,,,-0.097766526,-0.097971305,-0.09755673,,,,,,,,,-0.09537019,-0.09574963,-0.09537022,,
1915,-0.097538136,,,,,-0.098073006,-0.09832557,-0.09781733,,,,,,,,,-0.09576415,-0.09613525,-0.095764205,,
1916,-0.09824723,,,,,-0.09837946,-0.09867968,-0.09807786,,,,,,,,,-0.09615796,-0.096521005,-0.09615802,,
1917,-0.09895618,,,,,-0.098685935,-0.09903385,-0.09833835,,,,,,,,,-0.096551895,-0.096906655,-0.09655187,,
1918,-0.099665575,,,,,-0.09899203,-0.09938817,-0.09859894,,,,,,,,,-0.0969457,-0.09729204,-0.0969457,,
1919,-0.10037479,,,,,-0.09929872,-0.09974217,-0.09885945,,,,,,,,,-0.09733975,-0.09767774,-0.09733978,,
1920,-0.101185225,,,,,-0.099868774,-0.100346625,-0.09939753,,,,,,,,,-0.097953916,-0.09829421,-0.097953916,,
1921,-0.102097556,,,,,-0.100702874,-0.10120086,-0.1002126,,,,,,,,,-0.098788254,-0.099141374,-0.098788224,,
