year,LUH2-GCB2024_rescaled,irrigation,total
1918,-0.12343381822015483,-0.007830083,-0.13126390122015483
1919,-0.12393534571028447,-0.007918052,-0.13185339771028448
1920,-0.12471733818631851,-0.008012142,-0.13272948018631853
1921,-0.1257798186770472,-0.008112744,-0.13389256267704722
1922,-0.12684228003859246,-0.008220253,-0.13506253303859247
1923,-0.12790475343034077,-0.008335058,-0.13623981143034078
1924,-0.12896722290171816,-0.008457554,-0.13742477690171817
1925,-0.13002969854952812,-0.008588132,-0.13861783054952811
1926,-0.13109216814077604,-0.008727184,-0.13981935214077604
1927,-0.13215461950632496,-0.008875103,-0.14102972250632495
1928,-0.1332171037174697,-0.009032281,-0.1422493847174697
1929,-0.13427955239716047,-0.009199111,-0.14347866339716048
1930,-0.13526739264454085,-0.009375984,-0.14464337664454086
1931,-0.13618063509299805,-0.009563293,-0.14574392809299805
1932,-0.13709388647927107,-0.00976143,-0.14685531647927105
1933,-0.1380071185815587,-0.009970788,-0.1479779065815587
1934,-0.13892034186584215,-0.010191759,-0.14911210086584215
1935,-0.13983356402548483,-0.010424734,-0.15025829802548482
1936,-0.14074679288118955,-0.010670107,-0.15141689988118956
1937,-0.14166002108826464,-0.01092827,-0.15258829108826463
1938,-0.14257327096210093,-0.011199614,-0.15377288496210093
1939,-0.1434865091666177,-0.011484533,-0.1549710421666177
1940,-0.14356373276776344,-0.011783418,-0.15534715076776343
1941,-0.1428050072219238,-0.012097003,-0.1549020102219238
1942,-0.1420462934791065,-0.012426993,-0.1544732864791065
1943,-0.14128758319395793,-0.012775271,-0.15406285419395793
1944,-0.14052884705284852,-0.013143715,-0.15367256205284852
1945,-0.13977010468818601,-0.013534208,-0.153304312688186
1946,-0.13901138325956117,-0.01394863,-0.15296001325956116
1947,-0.1382526539257558,-0.01438886,-0.1526415139257558
1948,-0.13749393701114468,-0.014856781,-0.1523507180111447
1949,-0.13673520827206972,-0.015354273,-0.15208948127206973
1950,-0.13686224715152082,-0.015883215,-0.15274546215152082
1951,-0.13800173921675468,-0.016443684,-0.1544454232167547
1952,-0.13911818367347548,-0.017030095,-0.15614827867347547
1953,-0.14006990406311118,-0.017635752,-0.15770565606311118
1954,-0.14113266876283578,-0.018253962,-0.15938663076283577
1955,-0.14224387318867862,-0.01887803,-0.1611219031886786
1956,-0.1431714606117384,-0.019501261,-0.1626727216117384
1957,-0.1439743912121583,-0.020116961,-0.1640913522121583
1958,-0.14417278264051558,-0.020718437,-0.1648912196405156
1959,-0.143737234187353,-0.021298993,-0.165036227187353
