,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor
1769.5,0.023632034311313627,0.007674297099048095,0.0012083407853610692,-0.00205851027099083,-0.027798854631204965,0.0023115765313718685,0.0,-0.005296739023006778,-2.0362755965279716e-06,-1.6094112381587402e-06,0.042880403543037356,0.02556549623879744,-0.028288016240977137,0.009069717053981779,7.089375659259523e-09,0.012255467436360735,0.10435986477443569,-0.004071571319531758
1770.5,0.024872874198924772,0.0080757995170704,0.0012718684358813636,-0.0021098277458668734,-0.028815428742033643,0.002461914081433195,0.0,-0.005623030243629322,-2.1308839491413235e-06,-1.6941170927986733e-06,0.058905890662927674,0.13427139081596792,-0.02928214277815896,0.009544543504622298,7.462500693954865e-09,0.01336129950802143,0.25396650074893123,-0.004334997684696829
1771.5,0.026113420021906354,0.008477063798620161,0.0013353891894117647,0.0001576608334133271,-0.005855947217153671,0.001991924585793756,0.0,-0.005982326647610372,-5.883606408159108e-07,-1.7788229474386063e-06,0.055066601133697095,0.17505062754816808,-0.005235964510006338,0.01001911998647004,7.835625728662212e-09,0.03647511109115222,0.3071301663446105,-0.005134672215267905
1772.5,0.027353671933108083,0.00887809031807304,0.0013989030496714462,0.0003437544541327741,-0.000536513173889285,0.0018628946987953787,0.0,-0.006340510229167709,-5.334416780203723e-08,-1.8635288020785516e-06,0.04336703399458453,0.18225472606702703,0.00028674670717575334,0.010493446885176281,8.20875076335755e-09,0.04122662304725606,0.3044505974834944,-0.005659896192437725
1773.5,0.02859363008526037,0.009278879448822766,0.0014624100203728225,0.0003260391410121673,-0.003125544974131673,0.0019548014000996565,0.0,-0.006697621017972163,-3.1468478782345934e-07,-1.948234656718485e-06,0.024908427802987448,0.18341625816215926,-0.002149161248862704,0.010967524585383883,8.581875798052895e-09,0.0416965298825314,0.27862994720510265,-0.005886964459592443
1774.5,0.029833294630975473,0.009679431563284505,0.0015259101052219424,-0.003058365185237196,-0.04012377728735081,0.002853386545755591,0.0,-0.0070579810038236945,-2.880927170255349e-06,-2.032940511358418e-06,0.0020245270699763922,0.18359519398237606,-0.04090215470922815,0.011441353470731115,8.95500083274824e-09,0.010063392953090859,0.22570057564281845,-0.005432031364916944
1775.5,0.031072665722743392,0.010079747032898722,0.0015894033079177669,-0.0012004824762997602,-0.02703498660209845,0.002894114012456215,0.0,-0.007419944124671529,-2.669428633489475e-06,-2.1176463659983505e-06,-0.040012463341385626,0.18362204224724538,-0.026562119007258408,0.01191493392385486,9.328125867455583e-09,0.02598703974756526,0.20009268995662186,-0.005812131128204077
1776.5,0.03231174351293946,0.010479826228134556,0.001652889632152563,-9.047745120292074e-05,-0.011837196600710947,0.0023154412798406837,0.0,-0.0077853078464969385,-1.1919845475039324e-06,-2.2023522206382836e-06,-0.07118919673639457,0.18362600946358457,-0.011187282944965909,0.012388299082713529,9.701250902150927e-09,0.04095947242387009,0.18372739850292805,-0.006577215155578976
1777.5,0.0335505281538159,0.010879669518493387,0.001716369081611924,-0.00172830669141278,-0.036838525434611254,0.003246739286515241,0.0,-0.008150178595325975,-3.5930792553923492e-06,-2.287058075278217e-06,-0.06563517990443192,0.1836265905085307,-0.036284212548941784,0.012861426338012278,1.007437593684627e-08,0.020834158607533102,0.18035350528139277,-0.006232100428083706
1778.5,0.03478901979750945,0.011279277272512498,0.0017798416599747924,-0.003119936540447411,-0.053426935044864184,0.00380372282374436,0.0,-0.00852100984151587,-4.755485607375117e-06,-2.37176392991815e-06,-0.005664063754816892,0.18140288729903498,-0.053194939729970206,0.013334309308237495,1.0447500971541612e-08,0.007550630151093486,0.21867561296497454,-0.006292096292658236
1779.5,0.036027218596037205,0.011678649857768437,0.0018433073709134796,-0.0014961378008864475,-0.03267682211632815,0.003153112879085275,0.0,-0.00889285349651129,-3.2179945548055977e-06,-2.4564697845580827e-06,0.036023945188451034,0.1237279268093088,-0.032176440772453456,0.013806948366667949,1.0820626006236953e-08,0.028147036289275725,0.23094656792279597,-0.0069814029835611685
1780.5,0.037265124701297773,0.012077787640880576,0.0019067662180933171,-0.003911208556573939,-0.05575756792002145,0.0035029247315884918,0.0,-0.00924481933637426,-4.347120311808767e-06,-2.541175639198016e-06,0.05782769104381064,0.14358298366803937,-0.056439823084376325,0.014279347842002823,1.11937510409443e-08,0.007016490813789604,0.2698918578559417,-0.00701598191748641
1781.5,0.03850273826507255,0.01247669098751488,0.0019702182051734188,-0.002608724985136754,-0.0474426862170323,0.003684710530045593,0.0,-0.009589351935201709,-4.391614984096597e-06,-2.6258814938379488e-06,0.057710201332412094,0.17684106012390483,-0.04707683436173587,0.014751504784233345,1.1566876075639642e-08,0.018380045803760927,0.31583916758729536,-0.007307113470370812
1782.5,0.03974005943902149,0.012875360262386745,0.002033663335805587,-0.0020874109600337734,-0.035755718126326434,0.00323924836477606,0.0,-0.009936466424632105,-3.244802006699957e-06,-2.710587348477882e-06,0.0452350609093784,0.18259326316188865,-0.03566858467869256,0.015223419210918934,1.1940001110334985e-08,0.030111723580044495,0.3110564988463563,-0.007905882362628422
1783.5,0.04097708837469072,0.01327379582926518,0.002097101613636567,-0.0015122717739573448,-0.029545897898109876,0.0032518968430048025,0.0,-0.010280541034405549,-2.8784557236432204e-06,-2.795293203117815e-06,0.026139924607258867,-2.6181986530573935,-0.02920492623305428,0.015695091490981493,1.2313126145030329e-08,0.03801227907406423,-2.504751898607121,-0.008323618074912114
1784.5,0.042213825223504135,0.013671998050975446,0.002160533042304346,0.0003850728663722857,-0.024638400752533093,0.0033326789997715238,0.0,-0.010627599741707336,-2.5023286475189487e-06,-2.8799990577577483e-06,0.0005199349558797894,-3.811391223239572,-0.02263868393969334,0.016166509036561156,1.2686251179725672e-08,0.04667462829247598,-3.7304273648540445,-0.008746693408458335
1785.5,0.04345027013677102,0.0140699672894035,0.0022239576254418927,-0.002263139969510781,-0.039049046566456885,0.0036515224911534243,0.0,-0.010974066541337544,-3.564389393470441e-06,-2.9647049123976813e-06,-0.04141565598313528,-0.39021181022320195,-0.0389299758048968,0.01663770738572615,1.3059376214433015e-08,0.03304644986106402,-0.35999516831522793,-0.008754678342586728
1786.5,0.0446864232656818,0.014467703905498267,0.0022873753666756928,-0.0008023316633521596,-0.03241382366281655,0.003656261679065823,0.0,-0.011324617120699931,-3.298510356580692e-06,-3.0494107670376266e-06,-0.06937382552824876,-0.06801255645500891,-0.031171081974629335,0.017108650805970783,1.3432501249128358e-08,0.042803974857322756,-0.0669841422222413,-0.00914092420948816
1787.5,0.04592228476131043,0.014865208259276072,0.002350786269624652,-0.002173762425447001,-0.04492360407076872,0.004121201117590608,0.0,-0.011677041418103344,-4.414434898612222e-06,-3.1341166216775597e-06,-0.04962819086682683,0.11342648193029302,-0.044269549380236285,0.01757935330028043,1.38056262838237e-08,0.03253587487536617,0.1338380250996122,-0.009158582826793106
1788.5,0.04715785477461017,0.015262480709823003,0.002414190337902347,-0.0060131013020368156,-0.08916394761270491,0.00519907334814175,0.0,-0.012030844369131013,-7.308931698802252e-06,-3.2188224763174923e-06,0.01627089289645469,0.10348497325501119,-0.09002074915719034,0.01804981523328016,1.4178751318519046e-08,-0.007662350288413186,0.15706638783961077,-0.00884413445471944
1789.5,0.048393133456420094,0.015659521615299436,0.0024775875751148176,-0.003977506455715621,-0.06265446282659907,0.004593503140980909,0.0,-0.012378102311934135,-5.4059335955824726e-06,-3.3035283309574258e-06,0.05826170930406081,0.16289109047121825,-0.06280604922582313,0.018520038601994342,1.4551876353226386e-08,0.01909400762315389,0.3081867137148294,-0.009552481217918364
1790.5,0.04962812095746203,0.0160563313329421,0.002540977984862442,-0.004326747309510769,-0.06759437198840088,0.004828503664253429,0.0,-0.012769191530849804,-5.795262079773298e-06,-3.388234185597359e-06,0.07211540530687932,-0.06342822636998931,-0.06779676697139221,0.018990027239242875,1.492500138792173e-08,0.016445218304435093,0.07226729916084501,-0.009821355509587371
1791.5,0.05086281742833755,0.016452910219068615,0.0026043615707392162,-0.0017577187102290712,-0.04029608989772413,0.004320308332353703,0.0,-0.013208490550666708,-4.063818344694906e-06,-3.4729400402372914e-06,0.06482145235590167,0.07864097962704883,-0.039476333197595276,0.019459691934715972,1.5298126422617076e-08,0.04468240252505412,0.234251634681899,-0.010653141577712626
1792.5,0.05209722301953437,0.016849258629079825,0.00266773833633166,-0.0008677662303455481,-0.03636829035318025,0.004335034527969235,0.0,-0.013654347208341987,-3.7074701498975327e-06,-3.557645894877225e-06,0.05552815182870664,0.16151985013211903,-0.03495134463695748,0.019929287434733267,1.567125145731242e-08,0.050886362219902954,0.3257210077371763,-0.01116539267429859
