year,gcb-2025_rescaled,irrigation,total
1839,-0.02862178851164985,-0.002552872,-0.03117466051164985
1840,-0.0292896808681773,-0.002631279,-0.0319209598681773
1841,-0.029927655736317112,-0.002709959,-0.032637614736317114
1842,-0.030565494660813396,-0.002788884,-0.033354378660813394
1843,-0.031203428745860153,-0.002868026,-0.03407145474586015
1844,-0.031841418444215626,-0.002947357,-0.034788775444215624
1845,-0.03247929938765627,-0.003026852,-0.03550615138765627
1846,-0.03311720875567693,-0.003106481,-0.036223689755676934
1847,-0.03375513048221064,-0.003186218,-0.03694134848221064
1848,-0.034393078161621744,-0.003266035,-0.037659113161621745
1849,-0.035031011010817195,-0.003345905,-0.0383769160108172
1850,-0.035967719563917505,-0.0034258,-0.039393519563917505
1851,-0.03720305304706348,-0.003505693,-0.040708746047063475
1852,-0.03843834451126509,-0.003585557,-0.042023901511265095
1853,-0.03967370394728847,-0.003665363,-0.043339066947288465
1854,-0.04090909675129707,-0.003745084,-0.044654180751297075
1855,-0.042144426526889135,-0.003824694,-0.04596912052688913
1856,-0.04337976866099424,-0.003904164,-0.04728393266099424
1857,-0.04461529988034899,-0.003983467,-0.04859876688034899
1858,-0.04585048258963577,-0.004062576,-0.04991305858963577
1859,-0.04708602122409835,-0.004141463,-0.05122748422409835
1860,-0.048098992925369205,-0.004220101,-0.05231909392536921
1861,-0.04888984507162067,-0.004298462,-0.05318830707162067
1862,-0.04968068733106169,-0.004376519,-0.054057206331061695
1863,-0.05047161980764798,-0.004454244,-0.05492586380764798
1864,-0.05126244105761682,-0.00453161,-0.05579405105761682
1865,-0.05205307445818733,-0.00460859,-0.056661664458187336
1866,-0.052844000755517095,-0.004685155,-0.05752915575551709
1867,-0.05363482942059376,-0.00476128,-0.05839610942059376
1868,-0.05442569639706089,-0.004836935,-0.05926263139706089
1869,-0.05521639900530447,-0.004912094,-0.06012849300530447
1870,-0.05652421763918208,-0.00498673,-0.06151094763918208
1871,-0.05834883097735446,-0.005060814,-0.06340964497735446
1872,-0.060173562957252104,-0.005134319,-0.06530788195725211
1873,-0.061998359201417594,-0.005207219,-0.06720557820141759
1874,-0.06382291569042994,-0.005279485,-0.06910240069042994
1875,-0.06564771687800067,-0.005351089,-0.07099880587800067
1876,-0.06747223381977127,-0.005422006,-0.07289423981977128
1877,-0.06929695467700717,-0.005492206,-0.07478916067700717
1878,-0.07112160138316477,-0.005561663,-0.07668326438316476
1879,-0.07294637785370939,-0.005630349,-0.0785767268537094
1880,-0.07450271876988304,-0.005698237,-0.08020095576988304
1881,-0.07579029910279254,-0.005765299,-0.08155559810279255
1882,-0.07707804998318211,-0.005831508,-0.08290955798318211
1883,-0.07836585029762387,-0.005896837,-0.08426268729762387
1884,-0.07965376060283177,-0.005961257,-0.08561501760283177
1885,-0.08094153743609875,-0.006024742,-0.08696627943609875
1886,-0.0822292327031796,-0.006087264,-0.08831649670317959
1887,-0.08351682292289955,-0.006148795,-0.08966561792289955
1888,-0.0848047715394979,-0.006209309,-0.0910140805394979
1889,-0.08609251624063095,-0.006268777,-0.09236129324063096
1890,-0.08735334410034452,-0.006327172,-0.09368051610034453
1891,-0.088587353986743,-0.006384468,-0.094971821986743
1892,-0.08982106726882834,-0.006440635,-0.09626170226882834
1893,-0.09105500300414854,-0.006495647,-0.09755065000414853
1894,-0.09228886458839045,-0.006549477,-0.09883834158839044
1895,-0.09352271999337583,-0.006602097,-0.10012481699337583
1896,-0.09475629115256108,-0.006653479,-0.10140977015256109
1897,-0.09599025654831261,-0.006703597,-0.10269385354831262
1898,-0.0972241626232015,-0.006752422,-0.10397658462320149
1899,-0.09845773996164328,-0.006799927,-0.10525766696164328
1900,-0.09993041745203299,-0.006846085,-0.10677650245203299
1901,-0.10164166367830954,-0.006890961,-0.10853262467830954
1902,-0.1033532435844384,-0.006934897,-0.1102881405844384
1903,-0.10506458867881932,-0.006978285,-0.11204287367881932
1904,-0.106775612451861,-0.007021517,-0.113797129451861
1905,-0.10848716764096375,-0.007064985,-0.11555215264096375
1906,-0.11019793188523141,-0.007109082,-0.11730701388523142
1907,-0.11190954886689941,-0.0071542,-0.11906374886689941
1908,-0.11362076296104204,-0.007200732,-0.12082149496104204
1909,-0.11533227613120044,-0.007249069,-0.12258134513120043
1910,-0.11642567085613392,-0.007299604,-0.12372527485613392
1911,-0.1169025611576466,-0.007352729,-0.12425529015764661
1912,-0.11737921664741141,-0.007408837,-0.12478805364741141
1913,-0.11785578562758485,-0.007468319,-0.12532410462758484
1914,-0.1183323051737061,-0.007531569,-0.1258638741737061
1915,-0.11880887415387954,-0.007598978,-0.12640785215387954
1916,-0.11928560997397915,-0.007670938,-0.12695654797397915
1917,-0.11976221602969171,-0.007747842,-0.1275100580296917
1918,-0.12023849458480852,-0.007830083,-0.12806857758480852
1919,-0.12071516243308636,-0.007918052,-0.12863321443308637
1920,-0.12147702768698275,-0.008012142,-0.12948916968698276
1921,-0.12252399642179851,-0.008112744,-0.13063674042179851
1922,-0.1235710788549343,-0.008220253,-0.1317913318549343
1923,-0.12461777075905779,-0.008335058,-0.13295282875905778
1924,-0.12566471601269877,-0.008457554,-0.13412227001269877
1925,-0.1267115006056701,-0.008588132,-0.1352996326056701
1926,-0.12775868685031552,-0.008727184,-0.13648587085031552
1927,-0.12880548998105645,-0.008875103,-0.13768059298105645
1928,-0.12985265768793228,-0.009032281,-0.13888493868793228
