year,stratospheric_AOD,volcanic_ERF
-491.54166666666856,0.00291038643007968,0.19999704761675785
-491.45833333333525,0.0029103886556666714,0.199997003105018
-491.37500000000193,0.00291039112389726,0.1999969537404062
-491.2916666666686,0.002910393318121074,0.19999690985592997
-491.2083333333353,0.0029103942618026856,0.19999689098229773
-491.125000000002,0.002910394494763174,0.19999688632308799
-491.0416666666687,0.0029103955432229524,0.19999686535389238
-490.95833333333536,0.00291039740457546,0.19999682812684222
-490.87500000000205,0.002910399655064561,0.1999967831170602
-490.79166666666873,0.002910401113012309,0.19999675395810523
-490.7083333333354,0.002910401626254495,0.19999674369326154
-490.6250000000021,0.002910401236606437,0.1999967514862227
-490.5416666666688,0.002910401022974005,0.19999675575887135
-490.4583333333355,0.002910401737465368,0.19999674146904406
