,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor,natural,wmghg,anthro_nonwmghg
1788.5,0.047174533593576276,0.01526393639692317,0.0024305162992265665,-0.006013085703694267,-0.08916394761270491,0.0051988541885985284,0.0,-0.011100655016436785,-7.308931698802252e-06,-3.219822957982028e-06,0.02781452188513965,0.11496090169168204,-0.09002075183611108,0.018070236269445858,1.4178751318527684e-08,-0.0070784315098090375,0.18947733563728725,-0.007969931476552663,0.16287175098087214,0.0680221560379905,-0.08211048425498382
1789.5,0.04841024947598428,0.01566101524060033,0.0024943392391519104,-0.003977501936579392,-0.06265446282659907,0.0045932929508351004,0.0,-0.011439555018804223,-5.4059335955824726e-06,-3.3045551410868174e-06,0.02290398421839239,0.1666393428507988,-0.06280608672944836,0.018541005338708446,1.4551876353226113e-08,0.019769873810604733,0.2618554820567781,-0.008651538909685117,0.21042657315198604,0.06980096386172145,-0.057282837424541266
1790.5,0.04964567409013545,0.016057862877893663,0.0025581551542166858,-0.004326732480791798,-0.06759437198840088,0.00482830413735373,0.0,-0.01182928430381163,-5.795262079773298e-06,-3.389287324191607e-06,0.01376760369719616,0.0034650197449486277,-0.0677968011118962,0.019011680869338656,1.4925001387924546e-08,0.0171028664276534,0.05159463298805824,-0.00891749527269339,0.018369367058990557,0.07157921073432191,-0.061927106510352485
1791.5,0.05088080758666816,0.016454479665149336,0.0026219640483093796,-0.0017577453518402748,-0.04029608989772413,0.0043201999363700755,0.0,-0.012263113405580749,-4.063818344694906e-06,-3.4740195072963957e-06,0.0008835971672219205,0.1159493004798507,-0.03947634284727954,0.019482124579532304,1.5298126422622976e-08,0.045334635862579555,0.1944841915336699,-0.009738435717644928,0.12762572478917333,0.07335659964100087,-0.03571535373308578
1792.5,0.052115650116107,0.016850865957796692,0.0026857659253102543,-0.0008677848229261236,-0.03636829035318025,0.004335006992200552,0.0,-0.012714778845986574,-3.7074701498975327e-06,-3.5587516904011853e-06,-0.0026042171974538513,0.17019389934242563,-0.03495137173620186,0.019952260863312997,1.56712514573087e-08,0.05153916861655435,0.2536833492705842,-0.010251950357622016,0.17834609481242686,0.07513321515605514,-0.03142794944907512
1793.5,0.0533502018288596,0.017247022110352055,0.002749560789093969,-0.0010320626343648222,-0.033650385632975184,0.004240818633968486,0.0,-0.013168348256736585,-3.423999530201426e-06,-3.6434838735059745e-06,-0.011962539493033646,0.1678751147483546,-0.03253917195659533,0.02042211934524863,1.604437649200713e-08,0.055176433815386346,0.24298900649714553,-0.010748176258509571,0.16594659988941526,0.07690995506352195,-0.02959875984626103
1794.5,0.054584462875214734,0.017642948476421998,0.002813348643526997,-0.005193642611399803,-0.073956042800216,0.005170471212966375,0.0,-0.013628430963938475,-5.971489449996566e-06,-3.728216056610764e-06,-0.023127759500027708,0.17098191270465554,-0.07493453957447455,0.020891741534498902,1.641750152671827e-08,0.01760418223869774,0.21095596694799493,-0.010504316707132554,0.1591718547927181,0.07868633527245376,-0.06906944115696743
1795.5,0.05581843340534446,0.018038645408706446,0.0028771294924687645,-0.003378416099207026,-0.060021232701983604,0.005173585831723222,0.0,-0.014087119423646748,-5.582457998837357e-06,-3.8129482397155532e-06,-0.058064534926739256,-0.1872956446070523,-0.05966228493323226,0.021361128123949222,1.6790626561403992e-08,0.03410314784832206,-0.16811876705697018,-0.011001100552841626,-0.22942449530031608,0.0804619496304325,-0.05457109073562572
1796.5,0.057052113569307526,0.018434113259001947,0.002940903339772051,-0.0019602691558554567,-0.03724335375380911,0.004452949317732516,0.0,-0.014554869580262614,-3.642001972565048e-06,-3.8976804228203416e-06,-0.06789818502761966,0.011601190419017185,-0.036860046320907086,0.02183028261130661,1.7163751596102425e-08,0.055874287805746624,0.01942892984700178,-0.011948088451048057,-0.05277162450500211,0.08223681562197561,-0.034459997054953215
1797.5,0.058285503517041926,0.01882935237820489,0.0030046701892822545,-0.0037693556377708945,-0.06643030379998457,0.005499339291529389,0.0,-0.015017244819811969,-6.166039909343016e-06,-3.982412605925131e-06,-0.08430098155378826,0.11110969776644349,-0.06603797685807634,0.02229920202753843,1.7536876630813567e-08,0.03204637945705243,0.10831525033529035,-0.011699832568735425,0.04634685933664108,0.08401084162967021,-0.06065847434527893
1798.5,0.059518603398372644,0.019224363116314917,0.0030684300448381757,-0.0049775486096720984,-0.08001126398059524,0.005992187523312094,0.0,-0.015475199494789222,-7.067147230074237e-06,-4.067144789029921e-06,-0.09055840376934993,0.17217262936098748,-0.07986573111733825,0.022767886724007837,1.7910001665511997e-08,0.021349559336796817,0.16496646621266348,-0.011909033586918505,0.10562918853476763,0.085784288872919,-0.07334756826339617
1799.5,0.060751413363008384,0.019619145822437897,0.0031321829102716474,-0.004486010940360646,-0.0695496199921268,0.005526513357527359,0.0,-0.015933933759657053,-6.02707387328665e-06,-4.15187697213471e-06,-0.08782929299372004,0.18173537181895316,-0.06971989415135044,0.02323633705118414,1.828312670021043e-08,0.03169558954154357,0.18492897136186412,-0.012575574982657035,0.11777766930423028,0.08755708907793826,-0.06486290883396888
1800.5,0.06198393356053867,0.020013700844789414,0.0031959287894064623,-0.005866778194614665,-0.08110798410433992,0.005681753091219583,0.0,-0.016475507377167357,-6.441905541261602e-06,-4.236609155239512e-06,-0.07087021567117183,-0.11131827183560783,-0.08223054612515415,0.023704438344977007,1.865625173490886e-08,0.021400709575635977,-0.12142870407937917,-0.01296708329741752,-0.16789856575875917,0.08932905968698493,-0.07711286725101142
1801.5,0.06321616414044123,0.020408028530697526,0.003259667686060238,-0.004710192435080612,-0.07525559633593534,0.0058996570924320785,0.0,-0.017083955111254125,-6.6735518348429565e-06,-4.321341338344301e-06,-0.02467788035900297,0.11836860718536878,-0.07519968440991509,0.02417229058978885,1.902937676959458e-08,0.030424714113720785,0.16530887551121773,-0.013476782408497163,0.10539613275516174,0.0911004445296246,-0.06994654117935535
1802.5,0.06444810525207491,0.02080212922660606,0.003323399604044074,-0.004993211796389433,-0.07229089419208,0.005591033453990217,0.0,-0.0176982432646074,-6.10553229603635e-06,-4.40607352144909e-06,-0.02371843688200341,0.1659955389739918,-0.07290995668427921,0.024639904641669267,1.9402501804293013e-08,0.03354346165087778,0.22187585037747853,-0.014191101558989902,0.15477834559368203,0.09287220005012954,-0.06882985022432064
