timepoints,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124
1760.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.0180495696679,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.01889277540778,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.01973598114765,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.02057918688755,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.0214223926274,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.02226559836728,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1766.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.0231088041072,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1767.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.02395200984708,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574734,111.49202374973956,211.02479521558692,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1769.5,0.0,0.0,0.0003729417896147705,0.0,0.0,0.0,3.309391668376644e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0554155216229138e-05,0.010623274209688224,3.1528182840032126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299170011120947,4544.519055574733,111.49202374973956,211.02563842132682,202.72512311931195,0.00814600615806663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
